Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2009,6684154,3393620,21 Rakennuspalo
2009,6678300,3382618,21 Rakennuspalo
2009,6679471,3383153,21 Rakennuspalo
2009,6682910,3395045,21 Rakennuspalo
2009,6674405,3393682,21 Rakennuspalo
2009,6675181,3371239,21 Rakennuspalo
2009,6679457,3383000,21 Rakennuspalo
2009,6681733,3379676,21 Rakennuspalo
2009,6685914,3393336,21 Rakennuspalo
2009,6682054,3393340,21 Rakennuspalo
2009,6687938,3388149,21 Rakennuspalo
2009,6679635,3388154,21 Rakennuspalo
2009,6683081,3395361,21 Rakennuspalo
2009,6674408,3391713,21 Rakennuspalo
2009,6678228,3382826,21 Rakennuspalo
2009,6684985,3390880,21 Rakennuspalo
2009,6679207,3391351,21 Rakennuspalo
2009,6691007,3387609,21 Rakennuspalo
2009,6681589,3376919,21 Rakennuspalo
2009,6673953,3368288,21 Rakennuspalo
2009,6682347,3394278,21 Rakennuspalo
2009,6687210,3381899,21 Rakennuspalo
2009,6684493,3389190,21 Rakennuspalo
2009,6678170,3396782,21 Rakennuspalo
2009,6690558,3387433,21 Rakennuspalo
2009,6691705,3393911,21 Rakennuspalo
2009,6676665,3386805,21 Rakennuspalo
2009,6686733,3384961,21 Rakennuspalo
2009,6673944,3368282,21 Rakennuspalo
2009,6679780,3379401,21 Rakennuspalo
2009,6676822,3387283,21 Rakennuspalo
2009,6682170,3395916,21 Rakennuspalo
2009,6681357,3379389,21 Rakennuspalo
2009,6687625,3380762,21 Rakennuspalo
2009,6681581,3387585,21 Rakennuspalo
2009,6676945,3386835,21 Rakennuspalo
2009,6675967,3392153,21 Rakennuspalo
2009,6679069,3372358,21 Rakennuspalo
2009,6683010,3395631,21 Rakennuspalo
2009,6672632,3372305,21 Rakennuspalo
2009,6678343,3396349,21 Rakennuspalo
2009,6672909,3389835,21 Rakennuspalo
2009,6682054,3393340,21 Rakennuspalo
2009,6683838,3395470,21 Rakennuspalo
2009,6678695,3376567,21 Rakennuspalo
2009,6676362,3385977,21 Rakennuspalo
2009,6682994,3380538,21 Rakennuspalo
2009,6688168,3391039,21 Rakennuspalo
2009,6686881,3372608,21 Rakennuspalo
2009,6678472,3382778,21 Rakennuspalo
2009,6678059,3385811,21 Rakennuspalo
2009,6687818,3375995,21 Rakennuspalo
2009,6691808,3383071,21 Rakennuspalo
2009,6680199,3379222,21 Rakennuspalo
2009,6691929,3392560,21 Rakennuspalo
2009,6688132,3386886,21 Rakennuspalo
2009,6683130,3381484,21 Rakennuspalo
